datetime,temperature,Componente
2024-09-11T00:06:41.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T01:06:41.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T02:06:41.000Z,77.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T03:06:41.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T04:06:41.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T05:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T06:06:41.000Z,67.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T07:06:41.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T08:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T09:06:41.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T10:06:41.000Z,67.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T11:06:41.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T12:06:41.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T13:06:41.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T14:06:41.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T15:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T16:06:41.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T17:06:41.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T18:06:41.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T19:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T20:06:41.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T21:06:41.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T22:06:41.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T23:06:41.000Z,66.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T00:06:41.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T01:06:41.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T02:06:41.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T03:06:41.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T04:06:41.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T05:06:41.000Z,67.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T06:06:41.000Z,65.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T07:06:41.000Z,66.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T08:06:41.000Z,66.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T09:06:41.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T10:06:41.000Z,66.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T11:06:41.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T12:06:41.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T13:06:41.000Z,77.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T14:06:41.000Z,78.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T15:06:41.000Z,78.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T16:06:41.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T17:06:41.000Z,77.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T18:06:41.000Z,77.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T19:06:41.000Z,77.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T20:06:41.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T21:06:41.000Z,77.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T22:06:41.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-12T23:06:41.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T00:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T01:06:41.000Z,77.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T02:06:41.000Z,77.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T03:06:41.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T04:06:41.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T05:06:41.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T06:06:41.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T07:06:41.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T08:06:41.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T09:06:41.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T10:06:41.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T11:06:41.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T12:06:41.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T13:06:41.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T14:06:41.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T15:06:41.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T16:06:41.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T17:06:41.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T18:06:41.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T19:06:41.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T20:06:41.000Z,66.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T21:06:41.000Z,66.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T22:06:41.000Z,65.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-13T23:06:41.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T00:06:41.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T01:06:41.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T02:06:41.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T03:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T04:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T05:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T06:06:41.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T07:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T08:06:41.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T09:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T10:06:41.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T11:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T12:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T13:06:41.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T14:06:41.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T15:06:41.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T16:06:41.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T17:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T18:06:41.000Z,78.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T19:06:41.000Z,78.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T20:06:41.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T21:06:41.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T22:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-14T23:06:41.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T00:06:41.000Z,78.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T01:06:41.000Z,80.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T02:06:41.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T03:06:41.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T04:06:41.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T05:06:41.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T06:06:41.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T07:06:41.000Z,62.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T08:06:41.000Z,56.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T09:06:41.000Z,50.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T10:06:41.000Z,45.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T11:06:41.000Z,43.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T12:06:41.000Z,41.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T13:06:41.000Z,42.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T14:06:41.000Z,42.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T15:06:41.000Z,42.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T16:39:27.000Z,42.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T17:09:27.000Z,42.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T18:09:27.000Z,41.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T19:09:27.000Z,41.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T20:09:27.000Z,59.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T21:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T22:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-15T23:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T00:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T01:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T02:09:27.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T03:09:27.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T04:09:27.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T05:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T06:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T07:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T08:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T09:09:27.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T10:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T11:09:27.000Z,67.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T12:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T13:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T14:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T15:09:27.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T16:09:27.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T17:09:27.000Z,77.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T18:09:27.000Z,79.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T19:09:27.000Z,79.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T20:09:27.000Z,78.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T21:09:27.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T22:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-16T23:09:27.000Z,66.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T00:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T01:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T02:09:27.000Z,67.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T03:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T04:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T05:09:27.000Z,67.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T06:09:27.000Z,65.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T07:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T08:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T09:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T10:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T11:09:27.000Z,67.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T12:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T13:09:27.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T14:09:27.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T15:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T16:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T17:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T18:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T19:09:27.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T20:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T21:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T22:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-17T23:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T00:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T01:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T02:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T03:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T04:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T05:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T06:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T07:09:27.000Z,60.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T08:09:27.000Z,54.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T09:09:27.000Z,49.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T10:09:27.000Z,45.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T11:09:27.000Z,47.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T12:09:27.000Z,62.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T13:09:27.000Z,64.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T14:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T15:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T16:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T17:09:27.000Z,67.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T18:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T19:09:27.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T20:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T21:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T22:09:27.000Z,64.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-18T23:09:27.000Z,57.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T00:09:27.000Z,52.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T01:09:27.000Z,47.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T02:09:27.000Z,43.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T03:09:27.000Z,41.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T04:09:27.000Z,39.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T05:09:27.000Z,37.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T06:09:27.000Z,35.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T07:09:27.000Z,34.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T08:09:27.000Z,33.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T09:09:27.000Z,32.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T10:09:27.000Z,32.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T11:09:27.000Z,45.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T12:09:27.000Z,52.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T13:09:27.000Z,58.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T14:09:27.000Z,63.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T15:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T16:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T17:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T18:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T19:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T20:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T21:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T22:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T23:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T00:09:27.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T01:09:27.000Z,78.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T02:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T03:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T04:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T05:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T06:09:27.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T07:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T08:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T09:09:27.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T10:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T11:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T12:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T13:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T14:09:27.000Z,67.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T15:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T16:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T17:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T18:09:27.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T19:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T20:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T21:09:27.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T22:09:27.000Z,65.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T23:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T00:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T01:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T02:09:27.000Z,77.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T03:09:27.000Z,79.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T04:09:27.000Z,77.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T05:09:27.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T06:09:27.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T07:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T08:09:27.000Z,66.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T09:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T10:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T11:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T12:09:27.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T13:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T14:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T15:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T16:09:27.000Z,66.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-11T00:07:07.000Z,73.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T01:07:07.000Z,73.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T02:07:07.000Z,71.0,EM3401 102B0450 Redutor de Giro Frontal
